,mean,std
"(i-1,j+1)",1.8498045625273742e-06,0.004396265446952541
"(i,j+1)",2.7304039302680654e-07,0.003435751647758525
"(i+1,j+1)",-1.2489633364600488e-06,0.00439793494539552
"(i-1,j)",2.393716485131846e-06,0.0034298646224428055
"(i,j)",8.471020864430594e-07,0.0020547109139739026
"(i+1,j)",-6.567532930548941e-07,0.003435998760182511
"(i-1,j-1)",2.9844200996869246e-06,0.004389553560754921
"(i,j-1)",1.4648750849194494e-06,0.0034311486354022917
"(i+1,j-1)",-2.5198387153388607e-08,0.004397490523648426
h,0.003921568627447525,3.4547023515735206e-15
